"","C0","C1","C2","C3","C4","C5"
"1","Anderson","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"2","Andrews","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"3","Angelina","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"4","Aransas","Gulf Coast","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"5","Archer","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"6","Armstrong","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"7","Atascosa","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"8","Austin","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"9","Bailey","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"10","Bandera","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"11","Bastrop","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"12","Baylor","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"13","Bee","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"14","Bell","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"15","Bexar","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"16","Blanco","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"17","Borden","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"18","Bosque","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"19","Bowie","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"20","Brazoria","Gulf Coast","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"21","Brazos","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"22","Brewster","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"23","Briscoe","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"24","Brooks","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"25","Brown","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"26","Burleson","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"27","Burnet","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"28","Caldwell","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"29","Calhoun","Gulf Coast","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"30","Callahan","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"31","Cameron","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"32","Camp","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"33","Carson","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"34","Cass","Gulf Coast","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"35","Castro","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"36","Chambers","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"37","Cherokee","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"38","Childress","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"39","Clay","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"40","Cochran","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"41","Coke","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"42","Coleman","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"43","Collin","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"44","Collingsworth","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"45","Colorado","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"46","Comal","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"47","Comanche","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"48","Concho","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"49","Cooke","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"50","Coryell","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"51","Cottle","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"52","Crane","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"53","Crockett","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"54","Crosby","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"55","Culberson","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"56","Dallam","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"57","Dallas","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"58","Dawson","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"59","DeWitt","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"60","Deaf Smith","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"61","Delta","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"62","Denton","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"63","Dickens","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"64","Dimmit","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"65","Donley","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"66","Duval","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"67","Eastland","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"68","Ector","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"69","Edwards","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"70","El Paso","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"71","Ellis","Gulf Coast","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"72","Erath","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"73","Falls","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"74","Fannin","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"75","Fayette","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"76","Fisher","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"77","Floyd","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"78","Foard","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"79","Fort Bend","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"80","Franklin","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"81","Freestone","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"82","Frio","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"83","Gaines","Gulf Coast","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"84","Galveston","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"85","Garza","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"86","Gillespie","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"87","Glasscock","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"88","Goliad","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"89","Gonzales","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"90","Gray","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"91","Grayson","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"92","Gregg","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"93","Grimes","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"94","Guadalupe","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"95","Hale","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"96","Hall","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"97","Hamilton","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"98","Hansford","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"99","Hardeman","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"100","Hardin","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"101","Harris","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"102","Harrison","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"103","Hartley","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"104","Haskell","Gulf Coast","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"105","Hays","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"106","Hemphill","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"107","Henderson","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"108","Hidalgo","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"109","Hill","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"110","Hockley","Gulf Coast","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"111","Hood","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"112","Hopkins","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"113","Houston","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"114","Howard","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"115","Hudspeth","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"116","Hunt","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"117","Hutchinson","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"118","Irion","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"119","Jack","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"120","Jackson","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"121","Jasper","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"122","Jeff Davis","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"123","Jefferson","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"124","Jim Hogg","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"125","Jim Wells","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"126","Johnson","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"127","Jones","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"128","Karnes","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"129","Kaufman","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"130","Kendall","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"131","Kenedy","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"132","Kent","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"133","Kerr","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"134","Kimble","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"135","King","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"136","Kinney","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"137","Kleberg","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"138","Knox","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"139","La Salle","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"140","Lamar","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"141","Lamb","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"142","Lampasas","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"143","Lavaca","Gulf Coast","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"144","Lee","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"145","Leon","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"146","Liberty","Gulf Coast","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"147","Limestone","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"148","Lipscomb","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"149","Live Oak","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"150","Llano","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"151","Loving","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"152","Lubbock","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"153","Lynn","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"154","Madison","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"155","Marion","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"156","Martin","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"157","Mason","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"158","Matagorda","Gulf Coast","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"159","Maverick","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"160","McCulloch","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"161","McLennan","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"162","McMullen","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"163","Medina","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"164","Menard","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"165","Midland","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"166","Milam","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"167","Mills","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"168","Mitchell","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"169","Montague","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"170","Montgomery","Gulf Coast","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"171","Moore","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"172","Morris","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"173","Motley","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"174","Nacogdoches","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"175","Navarro","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"176","Newton","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"177","Nolan","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"178","Nueces","Gulf Coast","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"179","Ochiltree","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"180","Oldham","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"181","Orange","Gulf Coast","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"182","Palo Pinto","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"183","Panola","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"184","Parker","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"185","Parmer","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"186","Pecos","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"187","Polk","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"188","Potter","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"189","Presidio","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"190","Rains","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"191","Randall","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"192","Reagan","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"193","Real","Gulf Coast","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"194","Red River","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"195","Reeves","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"196","Refugio","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"197","Roberts","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"198","Robertson","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"199","Rockwall","Gulf Coast","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"200","Runnels","Gulf Coast","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"201","Rusk","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"202","Sabine","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"203","San Augustine","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"204","San Jacinto","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"205","San Patricio","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"206","San Saba","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"207","Schleicher","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"208","Scurry","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"209","Shackelford","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"210","Shelby","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"211","Sherman","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"212","Smith","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"213","Somervell","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"214","Starr","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"215","Stephens","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"216","Sterling","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"217","Stonewall","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"218","Sutton","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"219","Swisher","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"220","Tarrant","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"221","Taylor","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"222","Terrell","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"223","Terry","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"224","Throckmorton","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"225","Titus","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"226","Tom Green","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"227","Travis","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"228","Trinity","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"229","Tyler","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"230","Upshur","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"231","Upton","Gulf Coast","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"232","Uvalde","Gulf Coast","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"233","Val Verde","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"234","Van Zandt","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"235","Victoria","Gulf Coast","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"236","Walker","Gulf Coast","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"237","Waller","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"238","Ward","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"239","Washington","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"240","Webb","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"241","Wharton","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"242","Wheeler","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"243","Wichita","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"244","Wilbarger","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"245","Willacy","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"246","Williamson","Central Texas","Central Texas or Gulf Coast","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"247","Wilson","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"248","Winkler","West Texas","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"249","Wise","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"250","Wood","East Texas","North or East Texas","North or East Texas","General North Texas","*"
"251","Yoakum","Panhandle","West Texas or Panhandle","West Texas or Panhandle","General North Texas","*"
"252","Young","North Texas","North or East Texas","North or East Texas","General North Texas","*"
"253","Zapata","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
"254","Zavala","South Texas","South Texas","Central / South Texas, Gulf Coast","General South / Central Texas","*"
